# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Feb  8 04:07:54 2018
#
# CONSTRAINT:  where (kepler_name not null
# CONSTRAINT:  and koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_tce_plnt_num: TCE Planet Number
# COLUMN koi_tce_delivname: TCE Delivery
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN koi_slogg_err1: Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN koi_slogg_err2: Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,ra,dec,koi_kepmag
243,9595827,K00217.01,Kepler-71 b,CANDIDATE,3.905081685,3.5200000e-07,-3.5200000e-07,133.4150433,7.450000e-05,-7.450000e-05,2.82130,0.00486,-0.00486,21340.5,1.790e+01,-1.790e+01,12.78,0.85,-5.200e-01,1315.80,1,1,q1_q17_dr25_tce,5543.00,88.00,-121.00,4.540,0.017,-0.052,0.8870,0.0590,-0.0360,0.9970,294.865510,46.285851,15.127
245,6305192,K00219.01,Kepler-494 b,CANDIDATE,8.025118521,3.1660000e-06,-3.1660000e-06,132.4691330,3.250000e-04,-3.250000e-04,5.36940,0.03960,-0.03960,3120.4,1.060e+01,-1.060e+01,7.79,1.37,-1.370e+00,373.00,1,1,q1_q17_dr25_tce,6002.00,120.00,-120.00,4.196,0.162,-0.108,1.3690,0.2410,-0.2410,1.0730,297.214080,41.664040,14.153
246,7132798,K00220.01,Kepler-119 b,CANDIDATE,2.422084188,4.8300000e-07,-4.8300000e-07,132.9400790,1.650000e-04,-1.650000e-04,2.56130,0.00828,-0.00828,1871.8,5.200e+00,-5.200e+00,3.55,0.75,-3.200e-01,423.70,2,1,q1_q17_dr25_tce,5598.00,149.00,-166.00,4.565,0.036,-0.144,0.8300,0.1760,-0.0750,0.9280,295.946410,42.658920,14.236
247,7132798,K00220.02,Kepler-119 c,CANDIDATE,4.125119350,1.9420000e-05,-1.9420000e-05,133.6401400,3.800000e-03,-3.800000e-03,2.87700,0.10300,-0.10300,114.7,5.900e+00,-5.900e+00,0.88,0.19,-8.000e-02,21.60,2,2,q1_q17_dr25_tce,5598.00,149.00,-166.00,4.565,0.036,-0.144,0.8300,0.1760,-0.0750,0.9280,295.946410,42.658920,14.236
248,3937519,K00221.01,Kepler-495 b,CANDIDATE,3.413036353,6.2600000e-07,-6.2600000e-07,132.4430540,1.510000e-04,-1.510000e-04,2.61366,0.00578,-0.00578,3868.7,8.900e+00,-8.900e+00,6.62,1.37,-1.120e+00,480.70,2,1,q1_q17_dr25_tce,5392.00,80.00,-72.00,4.314,0.165,-0.150,1.0870,0.2240,-0.1840,0.8880,285.930690,39.098141,14.622
250,4249725,K00222.01,Kepler-120 b,CANDIDATE,6.312508525,5.2630000e-06,-5.2630000e-06,132.6544180,6.940000e-04,-6.940000e-04,2.74550,0.02650,-0.02650,1286.0,1.290e+01,-1.290e+01,2.00,0.26,-3.300e-01,112.50,2,1,q1_q17_dr25_tce,4090.00,447.00,-335.00,4.696,0.084,-0.056,0.5710,0.0760,-0.0930,0.5910,287.891630,39.339130,14.735
251,4249725,K00222.02,Kepler-120 c,CANDIDATE,12.794547400,2.6150000e-05,-2.6150000e-05,130.7668000,1.700000e-03,-1.700000e-03,3.41970,0.05310,-0.05310,816.7,1.640e+01,-1.640e+01,1.60,0.21,-2.600e-01,54.10,2,2,q1_q17_dr25_tce,4090.00,447.00,-335.00,4.696,0.084,-0.056,0.5710,0.0760,-0.0930,0.5910,287.891630,39.339130,14.735
252,4545187,K00223.01,Kepler-121 b,CANDIDATE,3.177414601,1.5870000e-06,-1.5870000e-06,134.4788920,4.170000e-04,-4.170000e-04,1.52620,0.02540,-0.02540,1134.3,1.210e+01,-1.210e+01,2.65,0.41,-1.900e-01,113.70,2,1,q1_q17_dr25_tce,5303.00,159.00,-143.00,4.630,0.032,-0.097,0.7080,0.1110,-0.0510,0.7850,286.162050,39.678001,14.708
253,4545187,K00223.02,Kepler-121 c,CANDIDATE,41.008111700,1.1800000e-04,-1.1800000e-04,147.0338200,2.380000e-03,-2.380000e-03,4.37600,0.11300,-0.11300,1004.5,2.430e+01,-2.430e+01,2.64,0.41,-1.900e-01,43.90,2,2,q1_q17_dr25_tce,5303.00,159.00,-143.00,4.630,0.032,-0.097,0.7080,0.1110,-0.0510,0.7850,286.162050,39.678001,14.708
256,5959753,K00226.01,Kepler-496 b,CANDIDATE,8.308653070,1.0270000e-05,-1.0270000e-05,138.1078800,1.020000e-03,-1.020000e-03,3.27470,0.03530,-0.03530,836.1,1.270e+01,-1.270e+01,2.42,0.11,-1.900e-01,74.30,1,1,q1_q17_dr25_tce,5022.00,80.00,-80.00,4.485,0.077,-0.033,0.8490,0.0400,-0.0660,0.8040,291.640900,41.241039,14.817
257,3847907,K00229.01,Kepler-497 b,CANDIDATE,3.573202801,9.0000000e-07,-9.0000000e-07,134.9343970,2.060000e-04,-2.060000e-04,2.88000,0.01140,-0.01140,2975.0,9.700e+00,-9.700e+00,5.81,1.60,-9.400e-01,362.10,1,1,q1_q17_dr25_tce,5646.00,200.00,-220.00,4.370,0.128,-0.192,1.0800,0.2980,-0.1740,0.9960,290.765870,38.927959,14.720
260,4833421,K00232.01,Kepler-122 c,CANDIDATE,12.466004437,5.5440000e-06,-5.5440000e-06,134.0032580,3.760000e-04,-3.760000e-04,5.00660,0.01980,-0.01980,2232.1,8.100e+00,-8.100e+00,5.65,0.89,-9.000e-01,304.60,5,1,q1_q17_dr25_tce,6038.00,121.00,-121.00,4.284,0.137,-0.112,1.1910,0.1890,-0.1890,0.9950,291.111880,39.949108,14.247
261,4833421,K00232.02,Kepler-122 b,CANDIDATE,5.766165573,7.6190000e-06,-7.6190000e-06,134.0172500,1.070000e-03,-1.070000e-03,3.83140,0.02960,-0.02960,364.8,5.900e+00,-5.900e+00,2.27,0.36,-3.600e-01,65.60,5,2,q1_q17_dr25_tce,6038.00,121.00,-121.00,4.284,0.137,-0.112,1.1910,0.1890,-0.1890,0.9950,291.111880,39.949108,14.247
262,4833421,K00232.03,Kepler-122 d,CANDIDATE,21.587527880,7.4980000e-05,-7.4980000e-05,142.9672800,2.710000e-03,-2.710000e-03,4.49680,0.07890,-0.07890,336.8,1.040e+01,-1.040e+01,2.18,0.35,-3.400e-01,34.00,5,4,q1_q17_dr25_tce,6038.00,121.00,-121.00,4.284,0.137,-0.112,1.1910,0.1890,-0.1890,0.9950,291.111880,39.949108,14.247
263,4833421,K00232.04,Kepler-122 e,CANDIDATE,37.996236900,1.5150000e-04,-1.5150000e-04,162.9798400,3.310000e-03,-3.310000e-03,6.77510,0.09350,-0.09350,403.7,1.100e+01,-1.100e+01,2.39,0.38,-3.800e-01,37.80,5,3,q1_q17_dr25_tce,6038.00,121.00,-121.00,4.284,0.137,-0.112,1.1910,0.1890,-0.1890,0.9950,291.111880,39.949108,14.247
264,4833421,K00232.05,Kepler-122 f,CANDIDATE,56.259088100,2.8000000e-04,-2.8000000e-04,164.2199300,3.820000e-03,-3.820000e-03,8.11400,0.11400,-0.11400,348.8,1.200e+01,-1.200e+01,2.22,0.36,-3.500e-01,29.70,5,5,q1_q17_dr25_tce,6038.00,121.00,-121.00,4.284,0.137,-0.112,1.1910,0.1890,-0.1890,0.9950,291.111880,39.949108,14.247
266,8491277,K00234.01,Kepler-498 b,CANDIDATE,9.613753160,1.1430000e-05,-1.1430000e-05,132.1856790,9.710000e-04,-9.710000e-04,4.65400,0.05100,-0.05100,797.9,8.400e+00,-8.400e+00,3.27,0.97,-5.300e-01,108.60,1,1,q1_q17_dr25_tce,5997.00,181.00,-199.00,4.364,0.108,-0.201,1.1100,0.3300,-0.1780,1.0370,290.358150,44.518749,14.283
267,8107225,K00235.01,Kepler-499 b,CANDIDATE,5.632525080,6.0050000e-06,-6.0050000e-06,133.8181800,8.670000e-04,-8.670000e-04,2.14480,0.03030,-0.03030,634.4,1.030e+01,-1.030e+01,2.04,0.28,-1.600e-01,70.90,1,1,q1_q17_dr25_tce,5216.00,157.00,-157.00,4.580,0.028,-0.105,0.8040,0.1130,-0.0610,0.8960,295.109950,43.915211,14.353
269,8041216,K00237.01,Kepler-500 b,CANDIDATE,8.508333104,9.7050000e-06,-9.7050000e-06,134.7856450,9.650000e-04,-9.650000e-04,3.45590,0.03530,-0.03530,646.5,8.200e+00,-8.200e+00,2.60,0.37,-2.800e-01,93.40,1,1,q1_q17_dr25_tce,5767.00,104.00,-115.00,4.396,0.090,-0.110,1.0300,0.1490,-0.1080,0.9630,295.951350,43.852051,14.176
270,7219825,K00238.01,Kepler-123 b,CANDIDATE,17.232328940,3.5660000e-05,-3.5660000e-05,135.0922000,1.680000e-03,-1.680000e-03,4.55680,0.05080,-0.05080,509.8,8.600e+00,-8.600e+00,2.79,0.45,-4.100e-01,64.10,3,1,q1_q17_dr25_tce,6086.00,133.00,-133.00,4.274,0.137,-0.112,1.2160,0.1990,-0.1790,1.0130,296.998630,42.781960,14.061
271,7219825,K00238.02,Kepler-123 c,CANDIDATE,26.695194400,2.6070000e-04,-2.6070000e-04,143.9999000,8.060000e-03,-8.060000e-03,4.57600,0.20700,-0.20700,132.6,1.060e+01,-1.060e+01,1.40,0.23,-2.000e-01,13.40,3,3,q1_q17_dr25_tce,6086.00,133.00,-133.00,4.274,0.137,-0.112,1.2160,0.1990,-0.1790,1.0130,296.998630,42.781960,14.061
273,6383785,K00239.01,Kepler-501 b,CANDIDATE,5.640676975,3.7250000e-06,-3.7250000e-06,138.5562590,5.570000e-04,-5.570000e-04,2.83540,0.02630,-0.02630,1453.3,1.140e+01,-1.140e+01,4.59,0.76,-6.900e-01,145.90,2,1,q1_q17_dr25_tce,5794.00,78.00,-78.00,4.282,0.137,-0.112,1.2160,0.2010,-0.1830,1.0320,297.201540,41.730209,14.762
276,11288051,K00241.01,Kepler-124 c,CANDIDATE,13.821420840,2.2230000e-05,-2.2230000e-05,131.7923700,1.250000e-03,-1.250000e-03,3.98500,0.12400,-0.12400,765.2,1.080e+01,-1.080e+01,2.20,0.15,-8.000e-02,75.30,3,1,q1_q17_dr25_tce,4983.00,100.00,-100.00,4.660,0.017,-0.052,0.6510,0.0440,-0.0240,0.7150,286.752780,49.064911,14.139
277,11288051,K00241.02,Kepler-124 d,CANDIDATE,30.950592700,2.1870000e-04,-2.1870000e-04,153.8450700,5.470000e-03,-5.470000e-03,5.39400,0.20800,-0.20800,301.4,1.420e+01,-1.420e+01,1.51,0.11,-5.000e-02,23.20,3,2,q1_q17_dr25_tce,4983.00,100.00,-100.00,4.660,0.017,-0.052,0.6510,0.0440,-0.0240,0.7150,286.752780,49.064911,14.139
278,11288051,K00241.03,Kepler-124 b,CANDIDATE,3.410459810,1.3610000e-05,-1.3610000e-05,131.5806200,3.040000e-03,-3.040000e-03,2.86600,0.10000,-0.10000,136.2,6.800e+00,-6.800e+00,1.06,0.07,-4.000e-02,22.50,3,3,q1_q17_dr25_tce,4983.00,100.00,-100.00,4.660,0.017,-0.052,0.6510,0.0440,-0.0240,0.7150,286.752780,49.064911,14.139
279,3642741,K00242.01,Kepler-503 b,CANDIDATE,7.258450123,3.8970000e-06,-3.8970000e-06,138.3446910,4.400000e-04,-4.400000e-04,5.72970,0.01610,-0.01610,3714.7,1.490e+01,-1.490e+01,5.53,1.59,-5.300e-01,288.60,1,1,q1_q17_dr25_tce,5638.00,154.00,-171.00,4.513,0.048,-0.204,0.9200,0.2640,-0.0880,1.0060,290.636510,38.707668,14.747
281,4349452,K00244.01,Kepler-25 c,CANDIDATE,12.720370263,2.2820000e-06,-2.2820000e-06,178.5282970,1.440000e-04,-1.440000e-04,2.73060,0.05130,-0.05130,1180.1,3.900e+00,-3.900e+00,4.75,0.28,-2.200e-01,485.50,2,1,q1_q17_dr25_tce,6267.00,81.00,-75.00,4.280,0.033,-0.030,1.2580,0.0720,-0.0590,1.0970,286.638400,39.487881,10.734
282,4349452,K00244.02,Kepler-25 b,CANDIDATE,6.238535444,2.3250000e-06,-2.3250000e-06,171.7063250,2.950000e-04,-2.950000e-04,3.52550,0.01050,-0.01050,401.6,1.700e+00,-1.700e+00,2.53,0.14,-1.200e-01,274.50,2,2,q1_q17_dr25_tce,6267.00,81.00,-75.00,4.280,0.033,-0.030,1.2580,0.0720,-0.0590,1.0970,286.638400,39.487881,10.734
283,8478994,K00245.01,Kepler-37 d,CANDIDATE,39.792200770,3.0070000e-05,-3.0070000e-05,175.2505580,5.840000e-04,-5.840000e-04,4.46600,0.02160,-0.02160,610.4,3.600e+00,-3.600e+00,1.90,0.08,-7.000e-02,179.50,2,1,q1_q17_dr25_tce,5437.00,73.00,-81.00,4.571,0.020,-0.030,0.7810,0.0340,-0.0310,0.8290,284.059540,44.518215,9.705
284,8478994,K00245.02,Kepler-37 c,CANDIDATE,21.301818630,7.7990000e-05,-7.7990000e-05,191.8413600,2.740000e-03,-2.740000e-03,3.87630,0.08560,-0.08560,87.3,2.900e+00,-2.900e+00,0.72,0.03,-3.000e-02,32.40,2,2,q1_q17_dr25_tce,5437.00,73.00,-81.00,4.571,0.020,-0.030,0.7810,0.0340,-0.0310,0.8290,284.059540,44.518215,9.705
285,11295426,K00246.01,Kepler-68 A b,CANDIDATE,5.398752862,1.9470000e-06,-1.9470000e-06,173.8586660,2.860000e-04,-2.860000e-04,3.43030,0.01540,-0.01540,346.5,1.400e+00,-1.400e+00,2.21,0.12,-1.100e-01,289.60,2,1,q1_q17_dr25_tce,5790.00,78.00,-78.00,4.279,0.030,-0.027,1.1980,0.0670,-0.0610,0.9970,291.032320,49.040272,9.997
286,11295426,K00246.02,Kepler-68 A c,CANDIDATE,9.605059760,3.4590000e-05,-3.4590000e-05,136.3786300,3.200000e-03,-3.200000e-03,3.00630,0.07730,-0.07730,55.0,1.900e+00,-1.900e+00,0.91,0.05,-4.000e-02,32.20,2,2,q1_q17_dr25_tce,5790.00,78.00,-78.00,4.279,0.030,-0.027,1.1980,0.0670,-0.0610,0.9970,291.032320,49.040272,9.997
288,5364071,K00248.01,Kepler-49 b,CANDIDATE,7.203855862,5.9210000e-06,-5.9210000e-06,170.2857310,6.520000e-04,-6.520000e-04,2.54180,0.02260,-0.02260,1765.9,1.920e+01,-1.920e+01,2.25,0.13,-1.700e-01,101.10,4,1,q1_q17_dr25_tce,3834.00,77.00,-84.00,4.708,0.045,-0.021,0.5390,0.0300,-0.0410,0.5410,292.294590,40.591789,15.264
289,5364071,K00248.02,Kepler-49 c,CANDIDATE,10.912740650,1.4650000e-05,-1.4650000e-05,169.8524700,1.050000e-03,-1.050000e-03,2.18010,0.04450,-0.04450,1387.2,2.650e+01,-2.650e+01,2.13,0.12,-1.600e-01,57.40,4,3,q1_q17_dr25_tce,3834.00,77.00,-84.00,4.708,0.045,-0.021,0.5390,0.0300,-0.0410,0.5410,292.294590,40.591789,15.264
290,5364071,K00248.03,Kepler-49 d,CANDIDATE,2.576571021,1.9510000e-06,-1.9510000e-06,172.1269110,6.170000e-04,-6.170000e-04,1.59970,0.01870,-0.01870,852.8,1.460e+01,-1.460e+01,1.57,0.09,-1.200e-01,63.60,4,2,q1_q17_dr25_tce,3834.00,77.00,-84.00,4.708,0.045,-0.021,0.5390,0.0300,-0.0410,0.5410,292.294590,40.591789,15.264
291,5364071,K00248.04,Kepler-49 e,CANDIDATE,18.596115180,4.8710000e-05,-4.8710000e-05,141.2633100,2.090000e-03,-2.090000e-03,2.30520,0.05990,-0.05990,813.8,3.150e+01,-3.150e+01,1.53,0.08,-1.200e-01,27.60,4,4,q1_q17_dr25_tce,3834.00,77.00,-84.00,4.708,0.045,-0.021,0.5390,0.0300,-0.0410,0.5410,292.294590,40.591789,15.264
292,9390653,K00249.01,Kepler-504 b,CANDIDATE,9.549277089,5.2870000e-06,-5.2870000e-06,175.7571830,4.330000e-04,-4.330000e-04,1.58320,0.01850,-0.01850,1826.9,2.000e+01,-2.000e+01,1.57,0.21,-2.400e-01,112.20,1,1,q1_q17_dr25_tce,3547.00,71.00,-80.00,4.899,0.060,-0.060,0.3690,0.0500,-0.0560,0.3960,284.921840,45.972401,14.486
293,9757613,K00250.01,Kepler-26 b,CANDIDATE,12.282998287,8.0010000e-06,-8.0010000e-06,170.3980900,5.100000e-04,-5.100000e-04,2.70960,0.01980,-0.01980,2794.7,2.240e+01,-2.240e+01,2.83,0.16,-2.200e-01,137.20,4,1,q1_q17_dr25_tce,3879.00,77.00,-85.00,4.708,0.045,-0.021,0.5370,0.0300,-0.0410,0.5370,284.940980,46.566540,15.473
294,9757613,K00250.02,Kepler-26 c,CANDIDATE,17.251213970,1.8140000e-05,-1.8140000e-05,149.8864790,8.540000e-04,-8.540000e-04,2.03710,0.04470,-0.04470,2054.8,3.320e+01,-3.320e+01,2.64,0.15,-2.000e-01,68.60,4,2,q1_q17_dr25_tce,3879.00,77.00,-85.00,4.708,0.045,-0.021,0.5370,0.0300,-0.0410,0.5370,284.940980,46.566540,15.473
295,9757613,K00250.03,Kepler-26 d,CANDIDATE,3.543919702,4.4940000e-06,-4.4940000e-06,136.2607500,1.070000e-03,-1.070000e-03,1.87170,0.02850,-0.02850,507.0,1.470e+01,-1.470e+01,1.21,0.06,-1.000e-01,38.20,4,4,q1_q17_dr25_tce,3879.00,77.00,-85.00,4.708,0.045,-0.021,0.5370,0.0300,-0.0410,0.5370,284.940980,46.566540,15.473
296,9757613,K00250.04,Kepler-26 e,CANDIDATE,46.827677250,9.7940000e-05,-9.7940000e-05,136.7446800,1.790000e-03,-1.790000e-03,1.90330,0.05690,-0.05690,1537.7,5.290e+01,-5.290e+01,2.13,0.12,-1.600e-01,32.40,4,3,q1_q17_dr25_tce,3879.00,77.00,-85.00,4.708,0.045,-0.021,0.5370,0.0300,-0.0410,0.5370,284.940980,46.566540,15.473
297,10489206,K00251.01,Kepler-125 b,CANDIDATE,4.164384505,2.1550000e-06,-2.1550000e-06,171.0879350,3.910000e-04,-3.910000e-04,1.84640,0.02800,-0.02800,2338.0,2.080e+01,-2.080e+01,2.54,0.19,-2.100e-01,132.10,2,1,q1_q17_dr25_tce,3808.00,76.00,-84.00,4.754,0.036,-0.036,0.5080,0.0370,-0.0420,0.5340,298.258120,47.604939,14.752
298,10489206,K00251.02,Kepler-125 c,CANDIDATE,5.774403260,3.0590000e-05,-3.0590000e-05,132.9669500,4.550000e-03,-4.550000e-03,1.76800,0.12700,-0.12700,245.3,2.350e+01,-2.350e+01,0.80,0.06,-6.000e-02,11.80,2,2,q1_q17_dr25_tce,3808.00,76.00,-84.00,4.754,0.036,-0.036,0.5080,0.0370,-0.0420,0.5340,298.258120,47.604939,14.752
302,5794240,K00254.01,Kepler-45 b,CANDIDATE,2.455240626,1.1100000e-07,-1.1100000e-07,170.8217620,3.560000e-05,-3.560000e-05,1.72722,0.00373,-0.00373,36911.9,3.370e+01,-3.370e+01,10.60,0.43,-7.100e-01,1341.60,1,1,q1_q17_dr25_tce,3793.00,76.00,-84.00,4.697,0.032,-0.020,0.5680,0.0230,-0.0380,0.5870,292.872890,41.064270,15.979
303,7021681,K00255.01,Kepler-505 b,CANDIDATE,27.521947720,3.0580000e-05,-3.0580000e-05,189.8245230,8.080000e-04,-8.080000e-04,4.04700,0.04150,-0.04150,2312.8,2.410e+01,-2.410e+01,2.47,0.17,-2.100e-01,106.50,3,1,q1_q17_dr25_tce,3780.00,76.00,-83.00,4.746,0.042,-0.031,0.5110,0.0360,-0.0430,0.5310,287.858120,42.542629,15.108
307,5514383,K00257.01,Kepler-506 b,CANDIDATE,6.883412780,1.3360000e-05,-1.3360000e-05,172.6622700,1.490000e-03,-1.490000e-03,2.06740,0.05210,-0.05210,487.4,1.590e+01,-1.590e+01,2.63,0.07,-9.000e-02,35.40,1,1,q1_q17_dr25_tce,6139.00,74.00,-86.00,4.359,0.012,-0.012,1.1930,0.0290,-0.0430,1.1900,284.635190,40.719830,10.868
310,8292840,K00260.01,Kepler-126 b,CANDIDATE,10.495663030,2.6610000e-05,-2.6610000e-05,172.7933500,2.040000e-03,-2.040000e-03,4.73560,0.05670,-0.05670,106.1,2.400e+00,-2.400e+00,1.34,0.08,-5.000e-02,48.70,3,2,q1_q17_dr25_tce,6214.00,113.00,-87.00,4.238,0.033,-0.027,1.2970,0.0740,-0.0540,1.0590,289.347320,44.208511,10.500
311,8292840,K00260.02,Kepler-126 d,CANDIDATE,100.283067500,2.6200000e-04,-2.6200000e-04,245.0431800,1.980000e-03,-1.980000e-03,10.86360,0.08520,-0.08520,351.2,4.400e+00,-4.400e+00,2.51,0.14,-1.000e-01,81.90,3,1,q1_q17_dr25_tce,6214.00,113.00,-87.00,4.238,0.033,-0.027,1.2970,0.0740,-0.0540,1.0590,289.347320,44.208511,10.500
312,8292840,K00260.03,Kepler-126 c,CANDIDATE,21.869657140,8.3090000e-05,-8.3090000e-05,140.2951300,3.100000e-03,-3.100000e-03,5.51770,0.08890,-0.08890,125.5,3.100e+00,-3.100e+00,1.51,0.08,-7.000e-02,43.50,3,3,q1_q17_dr25_tce,6214.00,113.00,-87.00,4.238,0.033,-0.027,1.2970,0.0740,-0.0540,1.0590,289.347320,44.208511,10.500
313,5383248,K00261.01,Kepler-96 b,CANDIDATE,16.238477330,1.4770000e-05,-1.4770000e-05,171.0195640,6.950000e-04,-6.950000e-04,3.96990,0.03410,-0.03410,646.7,5.800e+00,-5.800e+00,2.76,0.42,-2.400e-01,125.80,1,1,q1_q17_dr25_tce,5683.00,114.00,-114.00,4.422,0.085,-0.114,0.9930,0.1500,-0.0870,0.9510,297.069610,40.525131,10.297
314,11807274,K00262.01,Kepler-50 b,CANDIDATE,7.812858620,2.8230000e-05,-2.8230000e-05,172.6138000,2.850000e-03,-2.850000e-03,4.09800,0.07680,-0.07680,117.3,4.000e+00,-4.000e+00,1.68,0.09,-9.000e-02,32.30,2,2,q1_q17_dr25_tce,6237.00,62.00,-74.00,4.136,0.033,-0.030,1.5430,0.0840,-0.0750,1.1870,288.100860,50.033718,10.421
315,11807274,K00262.02,Kepler-50 c,CANDIDATE,9.376637130,3.1920000e-05,-3.1920000e-05,136.9531900,2.850000e-03,-2.850000e-03,2.10330,0.07770,-0.07770,118.4,6.200e+00,-6.200e+00,1.89,0.10,-1.000e-01,21.00,2,1,q1_q17_dr25_tce,6237.00,62.00,-74.00,4.136,0.033,-0.030,1.5430,0.0840,-0.0750,1.1870,288.100860,50.033718,10.421
318,12024120,K00265.01,Kepler-507 b,CANDIDATE,3.568099612,7.1670000e-06,-7.1670000e-06,169.7427800,1.660000e-03,-1.660000e-03,3.21310,0.04890,-0.04890,98.4,2.200e+00,-2.200e+00,1.36,0.23,-2.300e-01,52.50,1,1,q1_q17_dr25_tce,6007.00,121.00,-121.00,4.232,0.143,-0.117,1.3340,0.2280,-0.2280,1.1070,297.018830,50.408981,11.994
319,7375348,K00266.01,Kepler-508 b,CANDIDATE,25.308935660,6.7070000e-05,-6.7070000e-05,171.5061100,2.220000e-03,-2.220000e-03,5.77040,0.07110,-0.07110,153.7,3.200e+00,-3.200e+00,1.77,0.29,-2.800e-01,54.20,2,1,q1_q17_dr25_tce,5949.00,106.00,-118.00,4.272,0.120,-0.120,1.2920,0.2090,-0.2090,1.1400,295.404330,42.981422,11.472
323,6528464,K00270.01,Kepler-449 b,CANDIDATE,12.582298080,2.7360000e-05,-2.7360000e-05,175.0212900,1.660000e-03,-1.660000e-03,6.37500,0.05000,-0.05000,118.7,2.100e+00,-2.100e+00,1.53,0.05,-3.000e-02,62.10,2,1,q1_q17_dr25_tce,5587.00,100.00,-58.00,4.091,0.011,-0.011,1.4230,0.0470,-0.0260,0.9110,293.732820,41.900829,11.411
324,6528464,K00270.02,Kepler-449 c,CANDIDATE,33.672806580,9.0370000e-05,-9.0370000e-05,162.0367600,2.160000e-03,-2.160000e-03,8.22670,0.06660,-0.06660,170.9,2.900e+00,-2.900e+00,1.86,0.06,-4.000e-02,61.20,2,2,q1_q17_dr25_tce,5587.00,100.00,-58.00,4.091,0.011,-0.011,1.4230,0.0470,-0.0260,0.9110,293.732820,41.900829,11.411
325,9451706,K00271.01,Kepler-127 d,CANDIDATE,48.630380500,1.6190000e-04,-1.6190000e-04,172.5473600,2.460000e-03,-2.460000e-03,7.08050,0.08890,-0.08890,339.8,6.600e+00,-6.600e+00,2.48,0.06,-6.000e-02,53.90,3,2,q1_q17_dr25_tce,6075.00,122.00,-97.00,4.264,0.012,-0.012,1.3520,0.0360,-0.0300,1.2250,285.190000,46.027962,11.485
326,9451706,K00271.02,Kepler-127 c,CANDIDATE,29.393371610,7.2090000e-05,-7.2090000e-05,209.0673700,1.890000e-03,-1.890000e-03,7.04450,0.06640,-0.06640,327.0,4.900e+00,-4.900e+00,2.50,0.07,-5.000e-02,69.70,3,1,q1_q17_dr25_tce,6075.00,122.00,-97.00,4.264,0.012,-0.012,1.3520,0.0360,-0.0300,1.2250,285.190000,46.027962,11.485
327,9451706,K00271.03,Kepler-127 b,CANDIDATE,14.435945900,6.1950000e-05,-6.1950000e-05,141.5125300,3.560000e-03,-3.560000e-03,3.41400,0.10200,-0.10200,107.3,5.300e+00,-5.300e+00,1.46,0.04,-3.000e-02,22.00,3,3,q1_q17_dr25_tce,6075.00,122.00,-97.00,4.264,0.012,-0.012,1.3520,0.0360,-0.0300,1.2250,285.190000,46.027962,11.485
