# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb  2 04:13:06 2018
#
# CONSTRAINT:  where (koi_disposition like '%CANDIDATE%'
# CONSTRAINT:  and koi_count > 2
# CONSTRAINT:  )
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_teq:        Equilibrium Temperature [K]
# COLUMN koi_teq_err1:   Equilibrium Temperature Upper Unc. [K]
# COLUMN koi_teq_err2:   Equilibrium Temperature Lower Unc. [K]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
1945,4770365,K01475.03,,CANDIDATE,CANDIDATE,4.729411770,3.0750000e-05,-3.0750000e-05,132.9387100,5.480000e-03,-5.480000e-03,0.236,0.234,-0.236,2.23400,0.15600,-0.15600,434.3,3.370e+01,-3.370e+01,1.22,0.05,-6.000e-02,669.0,,,14.60,3,4224.00,84.00,-84.00,0.6030,0.0270,-0.0300,297.430390,39.847839,15.937
1973,7841925,K01499.02,,CANDIDATE,CANDIDATE,0.840594032,4.4560000e-06,-4.4560000e-06,131.7410400,3.990000e-03,-3.990000e-03,0.018,0.442,-0.018,1.40400,0.14300,-0.14300,49.8,5.300e+00,-5.300e+00,0.62,0.13,-9.000e-02,1780.0,,,11.60,3,5440.00,162.00,-162.00,0.8850,0.1930,-0.1290,297.724270,43.527431,14.480
1974,7841925,K01499.03,,CANDIDATE,CANDIDATE,6.209202070,4.7900000e-05,-4.7900000e-05,136.8793800,7.110000e-03,-7.110000e-03,0.272,0.189,-0.272,2.63700,0.17000,-0.17000,101.9,9.200e+00,-9.200e+00,0.89,0.19,-1.300e-01,914.0,,,12.10,3,5440.00,162.00,-162.00,0.8850,0.1930,-0.1290,297.724270,43.527431,14.480
2051,5219234,K01563.03,,CANDIDATE,CANDIDATE,3.205396220,1.4010000e-05,-1.4010000e-05,354.6306900,3.320000e-03,-3.320000e-03,0.512,0.004,-0.477,2.14300,0.09470,-0.09470,453.6,2.470e+01,-2.470e+01,1.70,0.11,-8.000e-02,1000.0,,,20.60,4,5103.00,101.00,-101.00,0.7870,0.0510,-0.0390,299.224330,40.343182,15.812
2069,10028792,K01574.03,,CANDIDATE,CANDIDATE,5.833938570,2.2410000e-05,-2.2410000e-05,132.6342600,3.040000e-03,-3.040000e-03,0.398,0.045,-0.398,4.58130,0.08450,-0.08450,134.4,8.100e+00,-8.100e+00,1.98,0.18,-1.400e-01,1285.0,,,17.60,4,5597.00,112.00,-101.00,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
2070,10028792,K01574.04,,CANDIDATE,CANDIDATE,8.977288800,1.4510000e-04,-1.4510000e-04,133.4474800,9.610000e-03,-9.610000e-03,0.702,0.269,-0.500,4.72000,0.31000,-0.31000,97.5,1.000e+01,-1.000e+01,1.79,0.15,-1.300e-01,1113.0,,,10.30,4,5597.00,112.00,-101.00,1.6990,0.1470,-0.1230,297.916870,46.965130,14.600
2092,5542466,K01590.01,,CANDIDATE,CANDIDATE,12.890067280,6.0120000e-05,-6.0120000e-05,201.2298900,3.250000e-03,-3.250000e-03,0.082,0.360,-0.082,3.55500,0.11700,-0.11700,602.5,2.710e+01,-2.710e+01,1.93,0.06,-1.400e-01,620.0,,,23.60,3,4915.00,78.00,-88.00,0.8120,0.0270,-0.0580,294.364870,40.720879,15.674
2093,5542466,K01590.02,,CANDIDATE,CANDIDATE,2.355745050,1.0210000e-05,-1.0210000e-05,177.8882400,3.230000e-03,-3.230000e-03,0.500,0.023,-0.458,1.79600,0.11500,-0.11500,266.9,1.800e+01,-1.800e+01,1.34,0.04,-1.000e-01,1093.0,,,17.00,3,4915.00,78.00,-88.00,0.8120,0.0270,-0.0580,294.364870,40.720879,15.674
2094,5542466,K01590.03,,CANDIDATE,CANDIDATE,4.746661280,2.7790000e-05,-2.7790000e-05,134.6378400,4.780000e-03,-4.780000e-03,0.441,0.047,-0.414,2.09300,0.15600,-0.15600,256.8,2.330e+01,-2.330e+01,1.30,0.04,-9.000e-02,865.0,,,12.50,3,4915.00,78.00,-88.00,0.8120,0.0270,-0.0580,294.364870,40.720879,15.674
2121,10055126,K01608.03,,CANDIDATE,CANDIDATE,232.040326000,6.9020000e-03,-6.9020000e-03,262.2531000,2.650000e-02,-2.650000e-02,0.610,0.341,-0.388,12.23500,0.76500,-0.76500,290.8,2.190e+01,-2.190e+01,2.05,0.33,-2.900e-01,327.0,,,15.20,3,5903.00,106.00,-117.00,1.1560,0.1850,-0.1660,282.061280,47.085491,13.797
2127,6268648,K01613.02,,CANDIDATE,CANDIDATE,94.094392000,3.0530000e-03,-3.0530000e-03,196.7503000,3.330000e-02,-3.330000e-02,0.320,0.119,-0.320,10.83300,0.60600,-0.60600,46.6,4.600e+00,-4.600e+00,0.90,0.04,-3.000e-02,486.0,,,10.60,3,6099.00,79.00,-85.00,1.3080,0.0540,-0.0540,285.476590,41.632717,11.049
2128,6268648,K01613.03,,CANDIDATE,CANDIDATE,20.605501000,2.5930000e-04,-2.5930000e-04,146.5069000,1.020000e-02,-1.020000e-02,0.705,0.257,-0.477,3.79300,0.30200,-0.30200,37.1,3.600e+00,-3.600e+00,0.85,0.04,-3.000e-02,806.0,,,11.10,3,6099.00,79.00,-85.00,1.3080,0.0540,-0.0540,285.476590,41.632717,11.049
2142,6543893,K01627.02,,CANDIDATE,CANDIDATE,5.939190410,3.0610000e-05,-3.0610000e-05,353.7553700,3.670000e-03,-3.670000e-03,0.107,0.337,-0.107,2.28500,0.11500,-0.11500,424.5,2.910e+01,-2.910e+01,3.70,0.61,-8.400e-01,1357.0,,,15.90,3,6068.00,82.00,-82.00,1.7970,0.2950,-0.4060,297.583130,41.952431,15.767
2143,6543893,K01627.03,,CANDIDATE,CANDIDATE,3.806758780,4.8890000e-05,-4.8890000e-05,133.7492000,9.240000e-03,-9.240000e-03,0.260,0.195,-0.260,2.09200,0.21800,-0.21800,231.9,2.580e+01,-2.580e+01,2.75,0.45,-6.200e-01,1574.0,,,10.40,3,6068.00,82.00,-82.00,1.7970,0.2950,-0.4060,297.583130,41.952431,15.767
2198,5531953,K01681.01,,CANDIDATE,CANDIDATE,6.939103370,3.0600000e-05,-3.0600000e-05,138.3392700,3.490000e-03,-3.490000e-03,0.966,0.043,-0.731,2.97700,0.13300,-0.13300,614.7,2.860e+01,-2.860e+01,1.41,0.16,-1.900e-01,445.0,,,22.90,4,3638.00,72.00,-87.00,0.4200,0.0460,-0.0560,291.285000,40.730049,15.855
2200,5531953,K01681.03,,CANDIDATE,CANDIDATE,3.531058350,1.8770000e-05,-1.8770000e-05,134.3171000,3.760000e-03,-3.760000e-03,1.213,59.410,-2.797,1.77800,0.22500,-0.22500,310.8,3.310e+01,-3.310e+01,10.61,1.16,-1.420e+00,558.0,,,11.70,4,3638.00,72.00,-87.00,0.4200,0.0460,-0.0560,291.285000,40.730049,15.855
2201,5531953,K01681.04,,CANDIDATE,CANDIDATE,21.913954900,2.1210000e-04,-2.1210000e-04,148.5214400,7.220000e-03,-7.220000e-03,1.200,70.910,-5.452,3.27100,0.42600,-0.42600,584.4,6.400e+01,-6.400e+01,10.39,1.14,-1.380e+00,303.0,,,11.80,4,3638.00,72.00,-87.00,0.4200,0.0460,-0.0560,291.285000,40.730049,15.855
2306,11551692,K01781.03,,CANDIDATE,CANDIDATE,58.019858300,1.4320000e-04,-1.4320000e-04,151.8500700,1.880000e-03,-1.880000e-03,0.951,0.014,-0.011,5.34800,0.18200,-0.18200,1286.6,3.480e+01,-3.480e+01,3.46,0.29,-1.000e-01,354.0,,,66.00,3,4920.00,98.00,-98.00,0.7200,0.0590,-0.0220,287.605590,49.523258,12.231
2332,4349442,K01803.01,,CANDIDATE,CANDIDATE,4.539297295,,,133.9595824,,,0.830,,,1.94550,,,798.1,,,2.34,0.14,-1.000e-01,830.0,,,50.30,3,4914.00,98.00,-98.00,0.7240,0.0450,-0.0300,286.635530,39.488621,13.260
2374,11601584,K01831.03,,CANDIDATE,CANDIDATE,34.205785079,,,148.8050925,,,0.319,,,5.16910,,,183.2,,,1.10,0.09,-6.000e-02,471.0,,,11.60,4,5191.00,103.00,-103.00,0.8260,0.0610,-0.0500,286.471470,49.649021,14.122
2375,11601584,K01831.04,,CANDIDATE,CANDIDATE,13.979450550,3.9170000e-05,-3.9170000e-05,142.3382900,2.250000e-03,-2.250000e-03,0.924,0.015,-0.645,1.23250,0.08000,-0.08000,356.1,2.590e+01,-2.590e+01,1.97,0.15,-1.200e-01,635.0,,,17.10,4,5191.00,103.00,-103.00,0.8260,0.0610,-0.0500,286.471470,49.649021,14.122
2380,11853878,K01833.02,,CANDIDATE,CANDIDATE,7.684333460,1.4130000e-05,-1.4130000e-05,133.3600700,1.500000e-03,-1.500000e-03,0.951,0.029,-0.676,1.43460,0.07090,-0.07090,1175.0,4.960e+01,-4.960e+01,2.58,0.23,-2.200e-01,583.0,,,28.50,3,4402.00,118.00,-144.00,0.5720,0.0490,-0.0490,285.602540,50.112041,14.265
2417,4157325,K01860.03,,CANDIDATE,CANDIDATE,3.076447090,1.0380000e-05,-1.0380000e-05,353.7643000,2.240000e-03,-2.240000e-03,0.708,0.235,-0.505,2.63260,0.06930,-0.06930,216.7,8.100e+00,-8.100e+00,1.61,0.23,-1.700e-01,1253.0,,,29.30,4,5670.00,114.00,-114.00,1.0220,0.1480,-0.1080,291.556950,39.227291,14.028
2609,12154526,K02004.03,,CANDIDATE,CANDIDATE,1.721100570,1.6010000e-05,-1.6010000e-05,132.7606800,8.310000e-03,-8.310000e-03,0.767,0.033,-0.544,1.92200,0.25800,-0.25800,29.7,4.200e+00,-4.200e+00,0.70,0.11,-9.000e-02,1607.0,,,9.30,3,5700.00,114.00,-114.00,1.1760,0.1820,-0.1490,288.646270,50.788979,13.351
2645,9489524,K02029.03,,CANDIDATE,CANDIDATE,6.887311300,8.9430000e-05,-8.9430000e-05,132.0711000,1.090000e-02,-1.090000e-02,0.489,0.003,-0.460,2.21400,0.28200,-0.28200,85.3,1.210e+01,-1.210e+01,0.72,0.05,-4.000e-02,788.0,,,8.10,4,5208.00,103.00,-103.00,0.7720,0.0550,-0.0410,299.896510,46.051971,12.957
2646,9489524,K02029.04,,CANDIDATE,CANDIDATE,4.788500840,6.0310000e-05,-6.0310000e-05,135.4574000,1.130000e-02,-1.130000e-02,0.343,0.126,-0.343,2.09900,0.30200,-0.30200,66.5,1.070e+01,-1.070e+01,0.63,0.04,-4.000e-02,889.0,,,7.20,4,5208.00,103.00,-103.00,0.7720,0.0550,-0.0410,299.896510,46.051971,12.957
2656,9634821,K02037.01,,CANDIDATE,CANDIDATE,73.757887500,4.3040000e-04,-4.3040000e-04,183.7234800,4.880000e-03,-4.880000e-03,0.714,0.205,-0.487,2.69000,0.11500,-0.11500,1836.9,9.880e+01,-9.880e+01,4.28,2.21,-6.600e-01,375.0,,,20.20,3,5029.00,192.00,-174.00,0.9300,0.4810,-0.1440,284.342740,46.316551,15.213
2657,9634821,K02037.02,,CANDIDATE,CANDIDATE,5.477157180,2.1230000e-05,-2.1230000e-05,352.8485700,2.830000e-03,-2.830000e-03,0.244,0.230,-0.244,1.38490,0.09480,-0.09480,568.4,4.070e+01,-4.070e+01,2.17,1.12,-3.400e-01,892.0,,,16.70,3,5029.00,192.00,-174.00,0.9300,0.4810,-0.1440,284.342740,46.316551,15.213
2658,9634821,K02037.03,,CANDIDATE,CANDIDATE,8.562672660,4.3080000e-05,-4.3080000e-05,355.1351800,3.480000e-03,-3.480000e-03,0.335,0.126,-0.335,1.53000,0.12900,-0.12900,608.1,5.060e+01,-5.060e+01,2.26,1.17,-3.500e-01,768.0,,,15.20,3,5029.00,192.00,-174.00,0.9300,0.4810,-0.1440,284.342740,46.316551,15.213
2687,3128552,K02055.03,,CANDIDATE,CANDIDATE,2.504752820,1.1440000e-05,-1.1440000e-05,133.6364500,3.730000e-03,-3.730000e-03,0.130,0.320,-0.130,2.37600,0.11100,-0.11100,181.1,1.060e+01,-1.060e+01,1.48,0.22,-2.500e-01,1369.0,,,18.90,3,5509.00,82.00,-74.00,1.1160,0.1690,-0.1860,294.152710,38.233040,14.523
2736,6525946,K02093.01,,CANDIDATE,CANDIDATE,6.783413250,2.3870000e-05,-2.3870000e-05,136.1046800,3.070000e-03,-3.070000e-03,0.665,0.258,-0.431,3.54370,0.07850,-0.07850,501.2,1.490e+01,-1.490e+01,20.75,7.85,-2.620e+00,2628.0,,,35.30,3,5096.00,77.00,-46.00,8.7690,3.3190,-1.1060,292.954160,41.934799,15.357
2737,6525946,K02093.02,,CANDIDATE,CANDIDATE,2.508116000,1.4540000e-05,-1.4540000e-05,133.9849700,5.240000e-03,-5.240000e-03,0.472,0.035,-0.430,2.50400,0.11000,-0.11000,188.1,1.110e+01,-1.110e+01,12.28,4.64,-1.550e+00,3662.0,,,18.30,3,5096.00,77.00,-46.00,8.7690,3.3190,-1.1060,292.954160,41.934799,15.357
2738,6525946,K02093.03,,CANDIDATE,CANDIDATE,0.496069986,1.6370000e-06,-1.6370000e-06,132.2813800,3.070000e-03,-3.070000e-03,0.269,0.192,-0.269,1.55680,0.07730,-0.07730,128.8,7.100e+00,-7.100e+00,10.00,3.79,-1.260e+00,6285.0,,,22.10,3,5096.00,77.00,-46.00,8.7690,3.3190,-1.1060,292.954160,41.934799,15.357
2787,9904006,K02135.02,,CANDIDATE,CANDIDATE,20.189039600,3.1220000e-04,-3.1220000e-04,142.1942900,9.310000e-03,-9.310000e-03,0.541,0.408,-0.336,6.25100,0.29500,-0.29500,112.1,8.200e+00,-8.200e+00,1.39,0.25,-2.000e-01,794.0,,,15.00,3,6178.00,111.00,-135.00,1.2670,0.2370,-0.1780,296.803440,46.741150,13.573
2826,11358389,K02163.03,,CANDIDATE,CANDIDATE,28.225104900,3.3770000e-04,-3.3770000e-04,153.7452000,1.120000e-02,-1.120000e-02,0.778,0.037,-0.541,2.35400,0.34200,-0.34200,201.3,2.800e+01,-2.800e+01,1.59,0.52,-2.100e-01,625.0,,,8.90,3,6014.00,190.00,-211.00,1.0210,0.3330,-0.1330,295.626590,49.130428,14.651
2835,9006186,K02169.02,,CANDIDATE,CANDIDATE,3.266627330,1.3950000e-05,-1.3950000e-05,136.0845200,3.540000e-03,-3.540000e-03,0.623,0.002,-0.503,2.05600,0.11300,-0.11300,59.9,3.600e+00,-3.600e+00,0.68,0.08,-3.000e-02,1072.0,,,18.60,4,5450.00,108.00,-108.00,0.8420,0.0930,-0.0330,285.207490,45.384350,12.404
2836,9006186,K02169.03,,CANDIDATE,CANDIDATE,4.272264210,2.2360000e-05,-2.2360000e-05,133.2186300,4.370000e-03,-4.370000e-03,0.744,0.225,-0.513,2.11300,0.12500,-0.12500,48.9,3.900e+00,-3.900e+00,0.64,0.07,-3.000e-02,981.0,,,13.70,4,5450.00,108.00,-108.00,0.8420,0.0930,-0.0330,285.207490,45.384350,12.404
2837,9006186,K02169.04,,CANDIDATE,CANDIDATE,2.192519030,3.2670000e-05,-3.2670000e-05,132.2332000,1.040000e-02,-1.040000e-02,0.616,0.362,-0.407,1.84500,0.33300,-0.33300,18.1,3.200e+00,-3.200e+00,0.37,0.05,-1.000e-02,1225.0,,,6.60,4,5450.00,108.00,-108.00,0.8420,0.0930,-0.0330,285.207490,45.384350,12.404
2844,8261920,K02174.01,,CANDIDATE,CANDIDATE,6.693328250,2.1010000e-05,-2.1010000e-05,137.7032400,2.590000e-03,-2.590000e-03,0.952,0.020,-0.673,2.31100,0.10300,-0.10300,781.8,3.850e+01,-3.850e+01,2.44,0.10,-1.200e-01,609.0,,,23.40,4,4245.00,85.00,-85.00,0.6370,0.0260,-0.0320,300.242220,44.141399,15.673
2845,8261920,K02174.02,,CANDIDATE,CANDIDATE,33.136286100,2.3920000e-04,-2.3920000e-04,169.5067600,5.830000e-03,-5.830000e-03,0.791,0.147,-0.538,4.16300,0.18000,-0.18000,825.2,5.400e+01,-5.400e+01,2.05,0.08,-1.000e-01,357.0,,,16.30,4,4245.00,85.00,-85.00,0.6370,0.0260,-0.0320,300.242220,44.141399,15.673
2846,8261920,K02174.03,,CANDIDATE,CANDIDATE,7.725136190,5.3410000e-05,-5.3410000e-05,176.8020200,5.010000e-03,-5.010000e-03,0.954,0.024,-0.680,2.04200,0.17400,-0.17400,382.2,4.340e+01,-4.340e+01,1.71,0.07,-9.000e-02,581.0,,,10.50,4,4245.00,85.00,-85.00,0.6370,0.0260,-0.0320,300.242220,44.141399,15.673
2847,8261920,K02174.04,,CANDIDATE,CANDIDATE,3.016096370,2.7150000e-05,-2.7150000e-05,131.5532700,7.830000e-03,-7.830000e-03,0.700,0.270,-0.482,1.57000,0.25900,-0.25900,196.3,3.230e+01,-3.230e+01,0.96,0.04,-5.000e-02,795.0,,,8.10,4,4245.00,85.00,-85.00,0.6370,0.0260,-0.0320,300.242220,44.141399,15.673
2873,3548044,K02194.03,,CANDIDATE,CANDIDATE,445.216850000,1.8120000e-02,-1.8120000e-02,202.8470000,3.960000e-02,-3.960000e-02,0.000,0.444,0.000,16.37000,1.00000,-1.00000,211.6,2.060e+01,-2.060e+01,1.37,0.18,-1.800e-01,237.0,,,11.10,3,5670.00,113.00,-102.00,0.9500,0.1240,-0.1240,292.326450,38.657581,13.865
2908,6871071,K02220.04,,CANDIDATE,CANDIDATE,7.664629130,7.2960000e-05,-7.2960000e-05,137.3834200,7.070000e-03,-7.070000e-03,0.216,0.227,-0.216,3.61400,0.18900,-0.18900,114.1,9.300e+00,-9.300e+00,1.60,0.25,-3.700e-01,1106.0,,,13.20,4,5640.00,85.00,-77.00,1.5150,0.2360,-0.3530,294.137910,42.370499,14.686
2934,4770617,K02243.03,,CANDIDATE,CANDIDATE,31.445270900,1.6980000e-04,-1.6980000e-04,154.5813600,5.130000e-03,-5.130000e-03,0.970,0.006,-0.725,1.75800,0.10800,-0.10800,531.1,4.810e+01,-4.810e+01,4.55,0.93,-7.700e-01,721.0,,,12.70,3,6172.00,74.00,-86.00,1.4710,0.3010,-0.2470,297.477110,39.877239,14.806
2939,11030475,K02248.01,,CANDIDATE,CANDIDATE,2.818147150,1.0900000e-05,-1.0900000e-05,132.2533600,3.210000e-03,-3.210000e-03,0.305,0.165,-0.305,1.76300,0.09740,-0.09740,278.6,1.900e+01,-1.900e+01,1.30,0.09,-7.000e-02,1059.0,,,16.50,3,5167.00,103.00,-103.00,0.7870,0.0530,-0.0430,292.239930,48.511570,15.498
2940,11030475,K02248.03,,CANDIDATE,CANDIDATE,0.761962470,2.2160000e-06,-2.2160000e-06,132.7837100,2.440000e-03,-2.440000e-03,0.322,0.141,-0.321,1.28200,0.08340,-0.08340,190.2,1.250e+01,-1.250e+01,1.08,0.07,-6.000e-02,1638.0,,,18.30,3,5167.00,103.00,-103.00,0.7870,0.0530,-0.0430,292.239930,48.511570,15.498
2941,11030475,K02248.04,,CANDIDATE,CANDIDATE,2.646227420,2.0600000e-05,-2.0600000e-05,132.6634300,7.220000e-03,-7.220000e-03,0.478,0.110,-0.393,1.40700,0.25200,-0.25200,155.5,2.610e+01,-2.610e+01,0.99,0.07,-5.000e-02,1082.0,,,8.40,3,5167.00,103.00,-103.00,0.7870,0.0530,-0.0430,292.239930,48.511570,15.498
2958,8613535,K02263.01,,CANDIDATE,CANDIDATE,29.968591700,1.7410000e-04,-1.7410000e-04,147.8598000,4.130000e-03,-4.130000e-03,0.282,0.141,-0.282,6.67800,0.13400,-0.13400,309.5,1.220e+01,-1.220e+01,1.91,0.60,-2.000e-01,644.0,,,26.50,3,6249.00,174.00,-217.00,1.0760,0.3350,-0.1120,286.971280,44.708302,14.456
2960,8613535,K02263.03,,CANDIDATE,CANDIDATE,15.594375800,2.8460000e-04,-2.8460000e-04,140.3138000,1.440000e-02,-1.440000e-02,0.500,0.453,-0.297,7.36700,0.55200,-0.55200,95.4,9.000e+00,-9.000e+00,1.08,0.34,-1.100e-01,801.0,,,11.90,3,6249.00,174.00,-217.00,1.0760,0.3350,-0.1120,286.971280,44.708302,14.456
2999,9334893,K02298.01,,CANDIDATE,CANDIDATE,16.667141500,1.2530000e-04,-1.2530000e-04,141.7655100,6.340000e-03,-6.340000e-03,0.444,0.042,-0.422,3.52600,0.19700,-0.19700,175.0,1.100e+01,-1.100e+01,0.70,0.04,-4.000e-02,469.0,,,17.90,3,4729.00,143.00,-143.00,0.5250,0.0280,-0.0320,288.456050,45.802120,13.831
3001,9334893,K02298.03,,CANDIDATE,CANDIDATE,2.472408690,1.8860000e-05,-1.8860000e-05,132.4408400,5.840000e-03,-5.840000e-03,0.319,0.137,-0.319,1.87000,0.17300,-0.17300,47.5,6.000e+00,-6.000e+00,0.36,0.02,-2.000e-02,887.0,,,9.00,3,4729.00,143.00,-143.00,0.5250,0.0280,-0.0320,288.456050,45.802120,13.831
3055,8013439,K02352.03,,CANDIDATE,CANDIDATE,8.256285700,3.6970000e-05,-3.6970000e-05,137.9267000,3.360000e-03,-3.360000e-03,0.816,0.142,-0.561,2.03780,0.09760,-0.09760,37.3,2.300e+00,-2.300e+00,1.49,0.23,-3.900e-01,1387.0,,,18.20,3,6197.00,135.00,-111.00,2.1880,0.3360,-0.5760,285.182800,43.831078,10.421
3147,11968463,K02433.03,,CANDIDATE,CANDIDATE,56.414831400,9.0490000e-04,-9.0490000e-04,163.1280000,1.180000e-02,-1.180000e-02,0.908,0.037,-0.700,8.07500,0.25100,-0.25100,480.1,3.060e+01,-3.060e+01,2.90,1.01,-3.400e-01,535.0,,,16.40,6,6325.00,174.00,-261.00,1.1120,0.3880,-0.1290,294.338470,50.336540,15.212
3148,11968463,K02433.04,,CANDIDATE,CANDIDATE,27.904051100,4.0180000e-04,-4.0180000e-04,154.9434000,1.080000e-02,-1.080000e-02,0.854,0.015,-0.593,5.34600,0.26200,-0.26200,300.2,2.430e+01,-2.430e+01,2.19,0.77,-2.500e-01,677.0,,,12.80,6,6325.00,174.00,-261.00,1.1120,0.3880,-0.1290,294.338470,50.336540,15.212
3308,9896018,K02579.01,,CANDIDATE,CANDIDATE,2.729603600,1.3120000e-05,-1.3120000e-05,133.2866100,3.790000e-03,-3.790000e-03,0.509,0.428,-0.308,2.72100,0.12300,-0.12300,145.6,8.800e+00,-8.800e+00,1.53,0.26,-2.200e-01,1455.0,,,18.40,3,5887.00,70.00,-79.00,1.2350,0.2130,-0.1750,293.988710,46.718021,15.147
3309,9896018,K02579.02,,CANDIDATE,CANDIDATE,3.596450810,3.6440000e-05,-3.6440000e-05,132.7720900,7.610000e-03,-7.610000e-03,0.781,0.176,-0.545,2.66100,0.21300,-0.21300,149.6,1.110e+01,-1.110e+01,1.66,0.29,-2.300e-01,1327.0,,,16.20,3,5887.00,70.00,-79.00,1.2350,0.2130,-0.1750,293.988710,46.718021,15.147
3310,9896018,K02579.03,,CANDIDATE,CANDIDATE,10.301485080,9.3850000e-05,-9.3850000e-05,134.8818500,8.030000e-03,-8.030000e-03,0.445,0.008,-0.444,3.90300,0.20600,-0.20600,162.7,1.390e+01,-1.390e+01,1.60,0.27,-2.300e-01,934.0,,,12.60,3,5887.00,70.00,-79.00,1.2350,0.2130,-0.1750,293.988710,46.718021,15.147
3318,7673841,K02585.03,,CANDIDATE,CANDIDATE,7.878457560,8.4240000e-05,-8.4240000e-05,138.5864400,9.010000e-03,-9.010000e-03,0.562,0.007,-0.481,3.91200,0.27200,-0.27200,44.1,4.600e+00,-4.600e+00,0.78,0.11,-1.400e-01,989.0,,,10.50,3,5767.00,115.00,-104.00,1.1350,0.1650,-0.2020,288.660770,43.368080,13.455
3334,12120307,K02597.03,,CANDIDATE,CANDIDATE,5.613576530,3.8420000e-05,-3.8420000e-05,131.8166900,5.400000e-03,-5.400000e-03,0.119,0.328,-0.119,2.90500,0.14800,-0.14800,162.3,1.170e+01,-1.170e+01,1.41,0.48,-1.600e-01,1165.0,,,15.20,3,6398.00,157.00,-224.00,1.1010,0.3700,-0.1230,296.301970,50.672321,14.790
3411,8022489,K02674.01,,CANDIDATE,CANDIDATE,197.511148400,3.6370000e-04,-3.6370000e-04,272.3864000,1.310000e-03,-1.310000e-03,0.814,0.013,-0.019,11.10600,0.10100,-0.10100,2575.6,1.600e+01,-1.600e+01,9.52,1.56,-2.150e+00,391.0,,,175.20,3,5616.00,124.00,-90.00,1.6740,0.2750,-0.3780,289.651250,43.824421,13.349
3470,9837661,K02715.03,,CANDIDATE,CANDIDATE,5.720845990,3.6200000e-05,-3.6200000e-05,134.6657600,6.160000e-03,-6.160000e-03,0.166,0.305,-0.166,2.74400,0.13700,-0.13700,1316.0,7.300e+01,-7.300e+01,1.78,0.11,-2.000e-01,509.0,,,20.50,3,3640.00,81.00,-90.00,0.5030,0.0300,-0.0560,294.528590,46.640968,16.835
3483,7673192,K02722.05,,CANDIDATE,CANDIDATE,16.534002200,2.4260000e-04,-2.4260000e-04,135.4090000,1.280000e-02,-1.280000e-02,0.525,0.433,-0.326,4.06300,0.37400,-0.37400,89.2,1.040e+01,-1.040e+01,1.17,0.20,-1.900e-01,819.0,,,9.30,5,6052.00,121.00,-133.00,1.2020,0.2080,-0.1890,288.370240,43.354610,13.268
