# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Feb 13 03:43:33 2018
#
# CONSTRAINT:  where (koi_pdisposition not like '%FALSE POSITIVE%'
# CONSTRAINT:  )
# CONSTRAINT:  order by kepoi_name asc
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN kepler_name:    Kepler Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_period_err1: Orbital Period Upper Unc. [days]
# COLUMN koi_period_err2: Orbital Period Lower Unc. [days]
# COLUMN koi_time0bk:    Transit Epoch [BKJD]
# COLUMN koi_time0bk_err1: Transit Epoch Upper Unc. [BKJD]
# COLUMN koi_time0bk_err2: Transit Epoch Lower Unc. [BKJD]
# COLUMN koi_impact:     Impact Parameter
# COLUMN koi_impact_err1: Impact Parameter Upper Unc.
# COLUMN koi_impact_err2: Impact Parameter Lower Unc.
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_duration_err1: Transit Duration Upper Unc. [hrs]
# COLUMN koi_duration_err2: Transit Duration Lower Unc. [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_depth_err1: Transit Depth Upper Unc. [ppm]
# COLUMN koi_depth_err2: Transit Depth Lower Unc. [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_prad_err1:  Planetary Radius Upper Unc. [Earth radii]
# COLUMN koi_prad_err2:  Planetary Radius Lower Unc. [Earth radii]
# COLUMN koi_model_snr:  Transit Signal-to-Noise
# COLUMN koi_count:      Number of Planets
# COLUMN koi_num_transits: Number of Transits
# COLUMN koi_steff:      Stellar Effective Temperature [K]
# COLUMN koi_steff_err1: Stellar Effective Temperature Upper Unc. [K]
# COLUMN koi_steff_err2: Stellar Effective Temperature Lower Unc. [K]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
# COLUMN koi_srad_err1:  Stellar Radius Upper Unc. [Solar radii]
# COLUMN koi_srad_err2:  Stellar Radius Lower Unc. [Solar radii]
# COLUMN koi_smass:      Stellar Mass [Solar mass]
# COLUMN koi_smass_err1: Stellar Mass Upper Unc. [Solar mass]
# COLUMN koi_smass_err2: Stellar Mass Lower Unc. [Solar mass]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN koi_kepmag:     Kepler-band [mag]
#
rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_model_snr,koi_count,koi_num_transits,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
1576,10350571,K01175.02,,CANDIDATE,CANDIDATE,17.157236000,1.8620000e-04,-1.8620000e-04,133.6895100,8.990000e-03,-8.990000e-03,0.238,0.218,-0.238,11.28400,0.24800,-0.24800,110.4,5.000e+00,-5.000e+00,1.55,0.24,-3.600e-01,23.60,3,61,5676.00,115.00,-104.00,1.4870,0.2290,-0.3440,1.0160,0.0930,-0.0840,295.920650,47.448608,13.290
1578,3749365,K01176.01,Kepler-785 b,CONFIRMED,CANDIDATE,1.973760850,9.9000000e-08,-9.9000000e-08,178.6894194,4.010000e-05,-4.010000e-05,0.337,0.225,-0.165,1.82542,0.00776,-0.00776,30222.4,3.130e+01,-3.130e+01,8.78,1.43,-2.130e+00,1252.50,1,662,3807.00,291.00,-291.00,0.5030,0.0820,-0.1220,0.5340,0.0810,-0.1320,292.068300,38.842270,15.715
1593,3859628,K01191.01,,CANDIDATE,CANDIDATE,8.172426440,2.6830000e-05,-2.6830000e-05,361.2015700,2.400000e-03,-2.400000e-03,0.926,0.017,-0.648,3.90200,0.14100,-0.14100,864.3,2.600e+01,-2.600e+01,3.29,0.44,-1.900e-01,37.00,1,105,5705.00,76.00,-76.00,0.9050,0.1210,-0.0520,0.9430,0.0520,-0.0630,293.873630,38.922482,15.240
1595,3942446,K01193.01,,CANDIDATE,CANDIDATE,119.062488200,1.4790000e-04,-1.4790000e-04,149.2222300,1.040000e-03,-1.040000e-03,0.968,0.423,-0.045,3.11880,0.05890,-0.05890,5372.3,9.410e+01,-9.410e+01,10.40,2.82,-1.890e+00,71.60,1,13,5697.00,173.00,-173.00,0.9200,0.2500,-0.1670,0.7600,0.1230,-0.0440,287.888120,39.078709,15.289
1596,3554031,K01194.01,Kepler-415 c,CONFIRMED,CANDIDATE,8.707983090,2.9270000e-05,-2.9270000e-05,363.0563800,2.290000e-03,-2.290000e-03,0.063,0.418,-0.063,2.49040,0.08050,-0.08050,1419.6,5.360e+01,-5.360e+01,2.01,0.15,-6.000e-02,28.10,3,100,4362.00,87.00,-78.00,0.5540,0.0420,-0.0170,0.5900,0.0290,-0.0290,293.804410,38.639130,15.842
1598,3554031,K01194.03,Kepler-415 b,CONFIRMED,CANDIDATE,4.176342760,2.4260000e-05,-2.4260000e-05,352.9967400,3.920000e-03,-3.920000e-03,0.142,0.312,-0.142,2.33500,0.12800,-0.12800,531.5,3.930e+01,-3.930e+01,1.23,0.10,-3.000e-02,14.90,3,202,4362.00,87.00,-78.00,0.5540,0.0420,-0.0170,0.5900,0.0290,-0.0290,293.804410,38.639130,15.842
1601,3348082,K01196.02,Kepler-274 b,CONFIRMED,CANDIDATE,11.634860090,8.8750000e-05,-8.8750000e-05,140.5007100,6.180000e-03,-6.180000e-03,0.053,0.397,-0.053,5.46600,0.16900,-0.16900,292.3,1.690e+01,-1.690e+01,2.61,0.40,-6.600e-01,18.40,3,110,5570.00,83.00,-72.00,1.5480,0.2410,-0.3910,1.0190,0.0840,-0.0840,292.922760,38.477280,15.035
1602,3348082,K01196.03,Kepler-274 c,CONFIRMED,CANDIDATE,33.198176100,3.7580000e-04,-3.7580000e-04,142.0987300,9.390000e-03,-9.390000e-03,0.826,0.133,-0.571,4.70900,0.29500,-0.29500,336.7,2.970e+01,-2.970e+01,3.21,0.50,-8.100e-01,11.80,3,36,5570.00,83.00,-72.00,1.5480,0.2410,-0.3910,1.0190,0.0840,-0.0840,292.922760,38.477280,15.035
1604,3447722,K01198.01,Kepler-275 c,CONFIRMED,CANDIDATE,16.088323180,8.7790000e-05,-8.7790000e-05,139.4918400,4.330000e-03,-4.330000e-03,0.648,0.290,-0.430,5.73100,0.14300,-0.14300,597.8,1.970e+01,-1.970e+01,3.42,0.58,-5.800e-01,31.30,3,89,6157.00,123.00,-123.00,1.3300,0.2250,-0.2250,1.0800,0.1090,-0.0810,292.479710,38.514919,15.319
1605,3447722,K01198.02,Kepler-275 b,CONFIRMED,CANDIDATE,10.300679190,9.1600000e-05,-9.1600000e-05,142.7425100,6.930000e-03,-6.930000e-03,0.004,0.452,-0.004,4.88500,0.20700,-0.20700,271.8,1.720e+01,-1.720e+01,2.20,0.37,-3.800e-01,16.40,3,126,6157.00,123.00,-123.00,1.3300,0.2250,-0.2250,1.0800,0.1090,-0.0810,292.479710,38.514919,15.319
1606,3447722,K01198.03,Kepler-275 d,CONFIRMED,CANDIDATE,35.675745300,3.5290000e-04,-3.5290000e-04,145.0071700,7.210000e-03,-7.210000e-03,0.610,0.310,-0.390,7.38100,0.23400,-0.23400,471.2,2.570e+01,-2.570e+01,3.02,0.51,-5.100e-01,18.50,3,38,6157.00,123.00,-123.00,1.3300,0.2250,-0.2250,1.0800,0.1090,-0.0810,292.479710,38.514919,15.319
1607,3859079,K01199.01,Kepler-786 b,CONFIRMED,CANDIDATE,53.529270200,2.6830000e-04,-2.6830000e-04,147.8646400,3.490000e-03,-3.490000e-03,0.346,0.104,-0.346,5.66800,0.12200,-0.12200,1086.1,3.570e+01,-3.570e+01,2.28,0.15,-8.000e-02,34.50,1,21,4736.00,94.00,-94.00,0.7080,0.0460,-0.0250,0.7910,0.0280,-0.0520,293.743930,38.939281,14.887
1608,4061149,K01201.01,,CANDIDATE,CANDIDATE,2.757584622,6.9350000e-06,-6.9350000e-06,133.0501700,2.090000e-03,-2.090000e-03,0.093,0.352,-0.093,0.92670,0.07930,-0.07930,563.1,3.700e+01,-3.700e+01,1.01,0.11,-1.300e-01,19.60,1,490,3683.00,73.00,-88.00,0.4240,0.0450,-0.0550,0.4540,0.0370,-0.0640,292.577030,39.120880,15.597
1609,3444588,K01202.01,Kepler-787 b,CONFIRMED,CANDIDATE,0.928310036,2.1610000e-06,-2.1610000e-06,133.8035800,1.850000e-03,-1.850000e-03,0.181,0.277,-0.181,1.18990,0.06170,-0.06170,376.2,2.050e+01,-2.050e+01,1.16,0.05,-6.000e-02,22.60,1,1443,4109.00,82.00,-82.00,0.6020,0.0270,-0.0300,0.6210,0.0280,-0.0340,291.692470,38.572899,15.854
1610,3962243,K01203.01,Kepler-276 c,CONFIRMED,CANDIDATE,31.884147300,2.0990000e-04,-2.0990000e-04,160.2069600,4.530000e-03,-4.530000e-03,0.938,0.007,-0.682,6.12200,0.21700,-0.21700,910.0,3.740e+01,-3.740e+01,3.70,0.60,-2.000e-01,25.30,3,31,5779.00,78.00,-86.00,0.9740,0.1580,-0.0530,1.0370,0.0560,-0.0680,293.568150,39.036320,15.368
1611,3962243,K01203.02,Kepler-276 b,CONFIRMED,CANDIDATE,14.128476770,6.6470000e-05,-6.6470000e-05,142.8971000,3.500000e-03,-3.500000e-03,0.811,0.116,-0.571,3.68500,0.11900,-0.11900,628.7,2.920e+01,-2.920e+01,2.73,0.44,-1.500e-01,23.00,3,72,5779.00,78.00,-86.00,0.9740,0.1580,-0.0530,1.0370,0.0560,-0.0680,293.568150,39.036320,15.368
1612,3962243,K01203.03,Kepler-276 d,CONFIRMED,CANDIDATE,48.647854300,7.4260000e-04,-7.4260000e-04,172.1271000,1.030000e-02,-1.030000e-02,0.988,69.780,-0.682,5.46400,0.51500,-0.51500,641.8,6.050e+01,-6.050e+01,4.14,0.67,-2.300e-01,12.20,3,20,5779.00,78.00,-86.00,0.9740,0.1580,-0.0530,1.0370,0.0560,-0.0680,293.568150,39.036320,15.368
1613,3438507,K01204.01,Kepler-788 b,CONFIRMED,CANDIDATE,8.398429770,5.6600000e-05,-5.6600000e-05,136.3115200,4.790000e-03,-4.790000e-03,0.573,0.037,-0.462,6.34400,0.14300,-0.14300,340.1,1.360e+01,-1.360e+01,2.00,0.64,-2.100e-01,28.00,1,164,6309.00,175.00,-219.00,1.0440,0.3350,-0.1120,1.0960,0.1540,-0.1540,290.000400,38.539890,15.291
1614,3869014,K01205.01,Kepler-789 b,CONFIRMED,CANDIDATE,8.638473910,3.5220000e-05,-3.5220000e-05,139.9468400,3.200000e-03,-3.200000e-03,0.049,0.371,-0.048,5.45660,0.09030,-0.09030,395.9,1.180e+01,-1.180e+01,5.99,1.17,-2.190e+00,38.60,1,124,5684.00,85.00,-76.00,3.0460,0.5980,-1.1110,1.5360,0.1460,-0.3400,295.975160,38.946640,14.507
1615,3732821,K01207.01,Kepler-790 b,CONFIRMED,CANDIDATE,13.734740710,4.2090000e-05,-4.2090000e-05,142.3275200,2.580000e-03,-2.580000e-03,0.941,0.011,-0.658,2.76900,0.13700,-0.13700,746.4,2.790e+01,-2.790e+01,2.71,0.31,-3.100e-01,31.00,1,99,5196.00,153.00,-138.00,0.7720,0.0880,-0.0880,0.7260,0.1030,-0.0510,286.917110,38.872219,15.187
1616,3962357,K01210.01,Kepler-791 b,CONFIRMED,CANDIDATE,14.553874880,9.8740000e-05,-9.8740000e-05,134.1166900,4.490000e-03,-4.490000e-03,0.955,0.012,-0.671,6.97300,0.28000,-0.28000,319.7,1.330e+01,-1.330e+01,3.45,0.62,-6.300e-01,26.80,1,75,6143.00,73.00,-85.00,1.5070,0.2730,-0.2730,1.2460,0.0990,-0.1100,293.595830,39.029480,14.377
1618,3749134,K01212.01,Kepler-792 b,CONFIRMED,CANDIDATE,11.301230360,7.5310000e-05,-7.5310000e-05,134.9185500,4.830000e-03,-4.830000e-03,0.117,0.329,-0.117,4.02200,0.14200,-0.14200,277.1,1.660e+01,-1.660e+01,1.85,0.28,-2.300e-01,18.50,1,117,5730.00,77.00,-77.00,1.1220,0.1690,-0.1380,1.0050,0.0730,-0.0610,292.006810,38.820728,14.981
1620,3660924,K01214.01,Kepler-793 b,CONFIRMED,CANDIDATE,4.241536290,2.2030000e-05,-2.2030000e-05,133.4552200,3.920000e-03,-3.920000e-03,0.257,0.187,-0.257,2.97100,0.14700,-0.14700,188.1,1.240e+01,-1.240e+01,1.44,0.39,-2.800e-01,18.00,1,249,5776.00,172.00,-155.00,1.0470,0.2830,-0.2060,0.8750,0.1300,-0.0800,295.216640,38.774330,14.621
1621,3939150,K01215.01,Kepler-277 b,CONFIRMED,CANDIDATE,17.324191080,6.3680000e-05,-6.3680000e-05,142.0997700,3.230000e-03,-3.230000e-03,0.764,0.148,-0.531,8.04500,0.10200,-0.10200,241.3,5.300e+00,-5.300e+00,3.14,0.45,-7.600e-01,49.10,2,78,5968.00,120.00,-108.00,1.8570,0.2640,-0.4520,1.1790,0.1440,-0.1300,286.583160,39.077202,13.420
1622,3939150,K01215.02,Kepler-277 c,CONFIRMED,CANDIDATE,33.006318500,1.4900000e-04,-1.4900000e-04,145.3882100,3.920000e-03,-3.920000e-03,0.390,0.063,-0.390,7.11800,0.12000,-0.12000,278.1,7.600e+00,-7.600e+00,3.13,0.45,-7.600e-01,38.20,2,38,5968.00,120.00,-108.00,1.8570,0.2640,-0.4520,1.1790,0.1440,-0.1300,286.583160,39.077202,13.420
1623,3839488,K01216.01,Kepler-794 b,CONFIRMED,CANDIDATE,11.131271590,3.5060000e-05,-3.5060000e-05,134.3634100,2.690000e-03,-2.690000e-03,0.010,0.420,-0.010,4.23720,0.07490,-0.07490,211.2,6.700e+00,-6.700e+00,2.06,0.35,-3.900e-01,36.80,1,123,5800.00,105.00,-117.00,1.4350,0.2470,-0.2710,1.1950,0.0880,-0.1210,288.133700,38.996880,13.459
1625,3442055,K01218.01,Kepler-795 b,CONFIRMED,CANDIDATE,29.619389100,1.1030000e-04,-1.1030000e-04,133.6820500,3.060000e-03,-3.060000e-03,0.046,0.395,-0.046,4.95950,0.09260,-0.09260,314.7,8.600e+00,-8.600e+00,1.74,0.24,-1.900e-01,42.50,1,46,5618.00,112.00,-101.00,0.9960,0.1330,-0.1090,0.9110,0.0680,-0.0460,291.019040,38.545570,13.331
1626,4043190,K01220.01,Kepler-796 b,CONFIRMED,CANDIDATE,6.400871370,2.2810000e-05,-2.2810000e-05,136.8824000,2.900000e-03,-2.900000e-03,0.861,0.056,-0.596,2.55610,0.08340,-0.08340,133.6,6.300e+00,-6.300e+00,1.91,0.33,-5.000e-01,24.40,1,207,5426.00,119.00,-76.00,1.4210,0.2470,-0.3710,0.9430,0.0730,-0.0430,287.307860,39.144730,12.988
1627,3640905,K01221.01,Kepler-278 b,CONFIRMED,CANDIDATE,30.159941100,1.7610000e-04,-1.7610000e-04,138.5177400,4.840000e-03,-4.840000e-03,0.802,0.021,-0.558,7.87400,0.13000,-0.13000,175.9,5.800e+00,-5.800e+00,4.54,0.30,-6.100e-01,32.30,2,44,5010.00,51.00,-103.00,3.0510,0.2020,-0.4040,1.4140,0.0990,-0.2770,290.107180,38.702229,11.584
1628,3640905,K01221.02,Kepler-278 c,CONFIRMED,CANDIDATE,51.077104800,5.5730000e-04,-5.5730000e-04,152.3569400,7.900000e-03,-7.900000e-03,0.498,0.011,-0.443,11.23300,0.24900,-0.24900,141.5,6.200e+00,-6.200e+00,3.66,0.24,-4.900e-01,24.10,2,24,5010.00,51.00,-103.00,3.0510,0.2020,-0.4040,1.4140,0.0990,-0.2770,290.107180,38.702229,11.584
1635,6470149,K01230.01,,CANDIDATE,CANDIDATE,165.739861000,1.7660000e-04,-1.7660000e-04,214.0394660,8.440000e-04,-8.440000e-04,0.263,0.056,-0.114,24.93930,0.07470,-0.07470,7343.4,1.580e+01,-1.580e+01,57.54,3.59,-1.003e+01,527.80,1,9,5019.00,51.00,-103.00,6.8360,0.4260,-1.1920,1.6630,0.2220,-0.5180,298.948150,41.812149,12.263
1645,6677841,K01236.04,,CANDIDATE,CANDIDATE,98.353149000,1.7930000e-03,-1.7930000e-03,217.8830000,1.390000e-02,-1.390000e-02,0.906,0.029,-0.623,24.70800,0.65800,-0.65800,423.0,1.440e+01,-1.440e+01,4.13,0.69,-9.200e-01,30.50,3,12,6366.00,116.00,-116.00,1.6970,0.2850,-0.3800,1.1640,0.1340,-0.1100,287.391200,42.194832,13.659
1647,6383821,K01238.01,Kepler-797 b,CONFIRMED,CANDIDATE,27.072376550,8.9900000e-05,-8.9900000e-05,139.1127000,2.750000e-03,-2.750000e-03,0.015,0.385,-0.015,6.95920,0.08710,-0.08710,514.2,1.360e+01,-1.360e+01,2.18,0.27,-9.000e-02,44.00,1,50,5936.00,65.00,-94.00,0.9650,0.1190,-0.0400,1.0750,0.0580,-0.0650,297.208950,41.781712,14.556
1648,6607286,K01239.01,,CANDIDATE,CANDIDATE,0.783276173,1.2690000e-06,-1.2690000e-06,355.9486500,1.120000e-03,-1.120000e-03,0.041,0.400,-0.040,1.67350,0.03570,-0.03570,264.7,6.700e+00,-6.700e+00,1.98,0.31,-3.400e-01,46.90,2,1447,5640.00,76.00,-76.00,1.2330,0.1900,-0.2110,0.9790,0.0750,-0.0550,292.178590,42.005909,15.005
1649,6607286,K01239.02,,CANDIDATE,CANDIDATE,3.174058980,1.0980000e-05,-1.0980000e-05,357.0577600,2.290000e-03,-2.290000e-03,0.422,0.042,-0.422,2.31560,0.07030,-0.07030,282.2,1.080e+01,-1.080e+01,2.09,0.32,-3.600e-01,29.20,2,290,5640.00,76.00,-76.00,1.2330,0.1900,-0.2110,0.9790,0.0750,-0.0550,292.178590,42.005909,15.005
1650,6690082,K01240.01,Kepler-280 b,CONFIRMED,CANDIDATE,2.139556300,3.1110000e-06,-3.1110000e-06,133.6539200,1.190000e-03,-1.190000e-03,0.368,0.094,-0.368,2.06780,0.03810,-0.03810,266.1,6.300e+00,-6.300e+00,1.76,0.27,-2.400e-01,48.90,2,625,5534.00,82.00,-74.00,1.0800,0.1650,-0.1500,0.9260,0.0670,-0.0430,291.390500,42.180592,14.466
1651,6690082,K01240.02,Kepler-280 c,CONFIRMED,CANDIDATE,4.807103254,5.8970000e-06,-5.8970000e-06,134.6403710,9.560000e-04,-9.560000e-04,0.940,0.007,-0.651,0.93930,0.03570,-0.03570,450.5,1.890e+01,-1.890e+01,2.96,0.45,-4.100e-01,32.90,2,243,5534.00,82.00,-74.00,1.0800,0.1650,-0.1500,0.9260,0.0670,-0.0430,291.390500,42.180592,14.466
1652,6448890,K01241.01,Kepler-56 c,CONFIRMED,CANDIDATE,21.405442200,1.1960000e-04,-1.1960000e-04,147.0898100,4.410000e-03,-4.410000e-03,0.943,0.005,-0.031,11.72100,0.36800,-0.36800,409.3,7.500e+00,-7.500e+00,11.64,0.79,-1.710e+00,60.90,2,64,4838.00,65.00,-79.00,4.3610,0.2960,-0.6410,1.3810,0.1580,-0.3160,293.758360,41.871868,12.440
1654,6607447,K01242.01,,CANDIDATE,CANDIDATE,99.644278300,1.0730000e-04,-1.0730000e-04,283.2362890,7.610000e-04,-7.610000e-04,0.966,0.029,-0.018,5.17720,0.06430,-0.06430,3215.6,2.960e+01,-2.960e+01,8.48,1.27,-5.500e-01,163.20,1,13,6102.00,82.00,-91.00,1.0160,0.1530,-0.0660,1.0490,0.0700,-0.0700,292.228390,42.035370,13.750
1657,6693640,K01245.01,Kepler-798 b,CONFIRMED,CANDIDATE,13.719384260,4.9120000e-05,-4.9120000e-05,140.7448300,3.030000e-03,-3.030000e-03,0.022,0.359,-0.022,5.56770,0.07230,-0.07230,316.4,7.600e+00,-7.600e+00,1.98,0.61,-2.200e-01,48.30,1,96,6387.00,153.00,-211.00,1.1050,0.3450,-0.1230,1.1450,0.1570,-0.1570,292.478210,42.142288,14.200
1658,6441738,K01246.01,,CANDIDATE,CANDIDATE,19.037234420,7.3750000e-05,-7.3750000e-05,148.5505700,3.250000e-03,-3.250000e-03,0.033,0.400,-0.033,3.38820,0.09240,-0.09240,401.3,1.850e+01,-1.850e+01,5.74,1.29,-9.300e-01,25.30,1,71,5248.00,68.00,-73.00,2.8920,0.6480,-0.4710,1.0170,0.1970,-0.1480,291.427550,41.878159,14.898
1666,8454250,K01254.01,,CANDIDATE,CANDIDATE,5.082722475,8.2680000e-06,-8.2680000e-06,137.2607500,1.370000e-03,-1.370000e-03,0.019,0.309,-0.019,5.91390,0.04940,-0.04940,1974.1,2.450e+01,-2.450e+01,4.40,0.00,0.000e+00,95.50,1,261,5780.00,,,1.0000,,,1.0000,,,299.073880,44.431679,12.777
1670,8630788,K01258.01,Kepler-281 c,CONFIRMED,CANDIDATE,36.337504530,7.2620000e-05,-7.2620000e-05,160.3980600,1.580000e-03,-1.580000e-03,0.825,0.019,-0.069,7.06000,0.16100,-0.16100,2828.4,3.250e+01,-3.250e+01,5.30,1.38,-4.600e-01,96.80,3,38,5717.00,156.00,-173.00,0.8840,0.2300,-0.0770,0.9840,0.1020,-0.1140,294.108180,44.770699,15.773
1671,8630788,K01258.02,Kepler-281 b,CONFIRMED,CANDIDATE,14.646130580,7.9590000e-05,-7.9590000e-05,136.5227000,4.400000e-03,-4.400000e-03,0.561,0.353,-0.358,5.68800,0.13500,-0.13500,593.5,2.150e+01,-2.150e+01,2.22,0.58,-1.900e-01,30.00,3,89,5717.00,156.00,-173.00,0.8840,0.2300,-0.0770,0.9840,0.1020,-0.1140,294.108180,44.770699,15.773
1672,8630788,K01258.03,,CANDIDATE,CANDIDATE,148.272013000,8.2540000e-04,-8.2540000e-04,138.0055700,4.690000e-03,-4.690000e-03,0.883,0.069,-0.612,4.19200,0.17400,-0.17400,1707.4,8.490e+01,-8.490e+01,4.30,1.12,-3.800e-01,21.80,3,8,5717.00,156.00,-173.00,0.8840,0.2300,-0.0770,0.9840,0.1020,-0.1140,294.108180,44.770699,15.773
1675,8678594,K01261.01,Kepler-799 b,CONFIRMED,CANDIDATE,133.460999000,2.5710000e-04,-2.5710000e-04,216.0433400,1.380000e-03,-1.380000e-03,0.249,0.043,-0.249,11.49970,0.06910,-0.06910,5032.9,3.240e+01,-3.240e+01,11.21,1.72,-2.590e+00,162.30,2,10,5588.00,83.00,-75.00,1.5930,0.2450,-0.3680,1.0310,0.0940,-0.0940,287.174900,44.878571,15.120
1676,8678594,K01261.02,,CANDIDATE,CANDIDATE,15.194233590,8.3430000e-05,-8.3430000e-05,142.7342200,4.580000e-03,-4.580000e-03,0.906,0.054,-0.611,3.10600,0.12500,-0.12500,367.8,2.250e+01,-2.250e+01,3.69,0.57,-8.500e-01,18.10,2,88,5588.00,83.00,-75.00,1.5930,0.2450,-0.3680,1.0310,0.0940,-0.0940,287.174900,44.878571,15.120
1679,8612847,K01264.01,Kepler-800 b,CONFIRMED,CANDIDATE,14.131753090,4.4620000e-05,-4.4620000e-05,142.2604400,2.600000e-03,-2.600000e-03,0.848,0.015,-0.585,4.01360,0.08220,-0.08220,1033.0,2.970e+01,-2.970e+01,3.02,0.76,-2.500e-01,40.10,1,95,5616.00,169.00,-169.00,0.8220,0.2070,-0.0690,0.9070,0.0950,-0.1040,286.574830,44.795200,15.762
1681,8547140,K01266.01,Kepler-801 b,CONFIRMED,CANDIDATE,11.419261410,2.3220000e-05,-2.3220000e-05,137.6689400,1.660000e-03,-1.660000e-03,0.242,0.182,-0.242,3.99080,0.05450,-0.05450,915.6,1.810e+01,-1.810e+01,1.48,0.16,-2.300e-01,58.00,1,117,3823.00,167.00,-184.00,0.4920,0.0540,-0.0740,0.5130,0.0490,-0.0740,286.075230,44.664639,15.314
1683,8813698,K01268.01,,CANDIDATE,CANDIDATE,268.941097400,4.9750000e-04,-4.9750000e-04,360.0709040,9.510000e-04,-9.510000e-04,0.765,0.020,-0.035,5.44340,0.09140,-0.09140,9010.2,8.740e+01,-8.740e+01,13.57,2.30,-2.310e+00,120.40,1,4,5798.00,78.00,-78.00,1.3060,0.2220,-0.2220,1.0410,0.0870,-0.0630,289.889620,45.005669,14.814
1685,8564587,K01270.01,Kepler-57 b,CONFIRMED,CANDIDATE,5.729317577,4.5290000e-06,-4.5290000e-06,138.5599710,6.410000e-04,-6.410000e-04,0.597,0.297,-0.389,1.18160,0.02470,-0.02470,865.4,1.770e+01,-1.770e+01,2.41,0.38,-2.000e-01,59.00,2,230,5320.00,159.00,-143.00,0.7860,0.1220,-0.0660,0.8820,0.0610,-0.1040,293.641300,44.657040,14.809
1686,8564587,K01270.02,Kepler-57 c,CONFIRMED,CANDIDATE,11.609085330,2.5100000e-05,-2.5100000e-05,133.9932400,1.750000e-03,-1.750000e-03,0.030,0.426,-0.030,2.26030,0.05230,-0.05230,489.3,1.590e+01,-1.590e+01,1.71,0.26,-1.500e-01,34.10,2,117,5320.00,159.00,-143.00,0.7860,0.1220,-0.0660,0.8820,0.0610,-0.1040,293.641300,44.657040,14.809
1687,8631160,K01271.01,,CANDIDATE,CANDIDATE,162.047950200,1.1530000e-04,-1.1530000e-04,278.8805730,5.080000e-04,-5.080000e-04,0.663,0.015,-0.021,9.89740,0.04600,-0.04600,4840.5,1.510e+01,-1.510e+01,11.52,2.07,-2.060e+00,370.20,1,8,6309.00,75.00,-82.00,1.5670,0.2810,-0.2810,1.2940,0.0910,-0.1360,294.265500,44.794300,13.632
1688,8806072,K01273.01,Kepler-802 b,CONFIRMED,CANDIDATE,40.058816610,9.5270000e-05,-9.5270000e-05,169.9106300,1.930000e-03,-1.930000e-03,0.819,0.013,-0.572,5.59500,0.10800,-0.10800,1239.4,2.240e+01,-2.240e+01,3.43,0.98,-3.100e-01,62.60,1,32,5668.00,152.00,-169.00,0.8680,0.2480,-0.0780,0.9630,0.0940,-0.1040,286.015870,45.007771,14.862
1689,8583696,K01275.01,Kepler-803 b,CONFIRMED,CANDIDATE,50.286359770,8.5160000e-05,-8.5160000e-05,167.6335100,1.330000e-03,-1.330000e-03,0.018,0.326,-0.017,6.32120,0.04640,-0.04640,1119.3,1.280e+01,-1.280e+01,3.88,0.62,-5.600e-01,99.50,1,24,5900.00,105.00,-117.00,1.1670,0.1850,-0.1680,1.0120,0.0820,-0.0670,299.221620,44.693871,13.672
1690,8804283,K01276.01,,CANDIDATE,CANDIDATE,22.790203510,6.8780000e-05,-6.8780000e-05,138.6851500,2.570000e-03,-2.570000e-03,0.036,0.415,-0.036,5.03940,0.07900,-0.07900,617.9,1.390e+01,-1.390e+01,2.57,0.36,-3.600e-01,47.70,2,58,5478.00,82.00,-74.00,1.0530,0.1470,-0.1470,0.9140,0.0610,-0.0420,285.036100,45.071060,14.766
1691,8804283,K01276.02,,CANDIDATE,CANDIDATE,13.260797920,9.7950000e-05,-9.7950000e-05,139.0988000,5.540000e-03,-5.540000e-03,0.220,0.250,-0.220,3.91200,0.16900,-0.16900,199.4,1.240e+01,-1.240e+01,1.47,0.20,-2.100e-01,17.60,2,97,5478.00,82.00,-74.00,1.0530,0.1470,-0.1470,0.9140,0.0610,-0.0420,285.036100,45.071060,14.766
